	acousticness	analysis_url	danceability	duration_ms	energy	id	instrumentalness	key	liveness	loudness	mode	speechiness	tempo	time_signature	track_href	type	uri	valence	like?
0	0.206	https://api.spotify.com/v1/audio-analysis/1gGY6qfslDtJ4OoWQGKtkE	0.574	226187	0.667	1gGY6qfslDtJ4OoWQGKtkE	0.352	5	0.0852	-5.425	1	0.0301	88.299	4	https://api.spotify.com/v1/tracks/1gGY6qfslDtJ4OoWQGKtkE	audio_features	spotify:track:1gGY6qfslDtJ4OoWQGKtkE	0.546	yes
1	0.276	https://api.spotify.com/v1/audio-analysis/30z3PlzkPYVNUzhpkTT3UY	0.73	223413	0.526	30z3PlzkPYVNUzhpkTT3UY	0.00127	3	0.0681	-8.713	1	0.0322	88.733	4	https://api.spotify.com/v1/tracks/30z3PlzkPYVNUzhpkTT3UY	audio_features	spotify:track:30z3PlzkPYVNUzhpkTT3UY	0.848	yes
2	0.605	https://api.spotify.com/v1/audio-analysis/5oUV6yWdDM0R9Q2CizRhIt	0.669	231173	0.389	5oUV6yWdDM0R9Q2CizRhIt	0.16	0	0.0905	-11.547	1	0.0306	130.015	4	https://api.spotify.com/v1/tracks/5oUV6yWdDM0R9Q2CizRhIt	audio_features	spotify:track:5oUV6yWdDM0R9Q2CizRhIt	0.649	yes
3	0.0127	https://api.spotify.com/v1/audio-analysis/6golelYKuy85o3u0cxIxFK	0.547	245293	0.635	6golelYKuy85o3u0cxIxFK	5.01e-06	2	0.0585	-5.569	1	0.137	113.678	4	https://api.spotify.com/v1/tracks/6golelYKuy85o3u0cxIxFK	audio_features	spotify:track:6golelYKuy85o3u0cxIxFK	0.525	yes
4	0.731	https://api.spotify.com/v1/audio-analysis/2kD2li0Gfjqh26jYNz6Z6p	0.478	370200	0.619	2kD2li0Gfjqh26jYNz6Z6p	0.496	4	0.0518	-8.216	1	0.0376	86.005	4	https://api.spotify.com/v1/tracks/2kD2li0Gfjqh26jYNz6Z6p	audio_features	spotify:track:2kD2li0Gfjqh26jYNz6Z6p	0.5	yes
5	0.395	https://api.spotify.com/v1/audio-analysis/18ycL9Q5zLDeY9M2Lr3Ozw	0.3	275307	0.452	18ycL9Q5zLDeY9M2Lr3Ozw	0.000818	11	0.137	-9.298	1	0.0305	82.988	4	https://api.spotify.com/v1/tracks/18ycL9Q5zLDeY9M2Lr3Ozw	audio_features	spotify:track:18ycL9Q5zLDeY9M2Lr3Ozw	0.342	yes
6	0.733	https://api.spotify.com/v1/audio-analysis/476JcJ3TpAuCOlGdCmomGm	0.769	225107	0.371	476JcJ3TpAuCOlGdCmomGm	3.73e-05	0	0.106	-8.522	1	0.0326	100.001	4	https://api.spotify.com/v1/tracks/476JcJ3TpAuCOlGdCmomGm	audio_features	spotify:track:476JcJ3TpAuCOlGdCmomGm	0.653	yes
7	0.0106	https://api.spotify.com/v1/audio-analysis/0Fc8hmAuH0rHYq2Ur9t07Y	0.346	301867	0.808	0Fc8hmAuH0rHYq2Ur9t07Y	0.685	11	0.247	-5.791	0	0.0302	219.331	4	https://api.spotify.com/v1/tracks/0Fc8hmAuH0rHYq2Ur9t07Y	audio_features	spotify:track:0Fc8hmAuH0rHYq2Ur9t07Y	0.706	yes
8	0.0363	https://api.spotify.com/v1/audio-analysis/6BhIfXFnwUWMl2sqbTMjqP	0.829	230147	0.435	6BhIfXFnwUWMl2sqbTMjqP	0.878	0	0.119	-10.136	1	0.0515	103.816	4	https://api.spotify.com/v1/tracks/6BhIfXFnwUWMl2sqbTMjqP	audio_features	spotify:track:6BhIfXFnwUWMl2sqbTMjqP	0.594	yes
9	0.0355	https://api.spotify.com/v1/audio-analysis/6ZHfURYqkb0baNLffyBjpG	0.637	281247	0.8	6ZHfURYqkb0baNLffyBjpG	0.000318	5	0.177	-7.093	1	0.0465	108.922	4	https://api.spotify.com/v1/tracks/6ZHfURYqkb0baNLffyBjpG	audio_features	spotify:track:6ZHfURYqkb0baNLffyBjpG	0.743	yes
